Professor Name,Research Areas,Keywords
Angshuman Jana,"Software Engineering, Software Security, IoT Security, Deep Learning, Blockchain, Application Development (Web/App)","software engineering, security, IoT, deep learning, blockchain, application development"
Arijit Nath,"Computer Architecture, Emerging Memory Technologies, Memory System Design","computer architecture, memory, system design"
Debashree Devi,"Machine Learning, AI, Class Imbalance, Deep Learning for COVID-19 Detection, ML-based Drug Discovery","machine learning, AI, class imbalance, deep learning, drug discovery"
Ferdous A Barbhuiya,"Security in Cloud & IoT, Privacy-Preserving ML, Computer Vision, ML Applications in NLP/CV","security, cloud, IoT, privacy, ML, NLP, computer vision"
Kaustuv Nag,"Machine Learning, Deep Learning, Computational Intelligence, Android App Dev, Text Summarization, Web Dev, Language Translation","ML, deep learning, AI, web development, app development, text summarization, translation"
Manojit Ghose,"ML-Based Application Development, High-Performance Computing","ML, application development, high-performance computing"
Moumita Roy,"Machine Learning, Deep Learning for Image/Signal Analysis","ML, deep learning, image analysis, signal processing"
Nilkanta Sahu,"Computer Vision, Image Processing, Application Development","computer vision, image processing, application development"
Nilotpal Chakraborty,"Smart Grid Optimization, UAVs, AI & Blockchain for Cyber-Physical Systems, Quantum Annealing, Digital Twins","smart grid, UAVs, AI, blockchain, quantum annealing, digital twins"
Parashjyoti Borah,"Machine Learning Algorithms, Deep Learning Applications","ML, deep learning"
Pawan K. Mishra,"Algorithms, Geometry, Graph Theory, Approximation Algorithms","algorithms, geometry, graph theory, approximation algorithms"
Radhika Sukapuram,"Optimization & ML in Networks, Mobile Edge Computing, Network Function Virtualization, SDN","ML, optimization, mobile edge, NFV, SDN"
Rakesh Matam,"IoT, IoT Security, Security of ML Systems, Application Development","IoT, security, ML security, application development"
Rohit Tripathi,"Social Network Analysis, Application Development","social networks, application development"
Sanjay Moulik,Scheduling Algorithms for Real-Time Systems,"scheduling, real-time systems"
Shubha Brata Nath,"Cloud Computing, Fog Computing, IoT, Serverless Computing, Application Development","cloud, fog computing, IoT, serverless, application development"
Subhasish Dhal,"Deep Learning, Information Security, Blockchain, Brain-Computer Interface, Quantum Cryptography, Application Development","deep learning, security, blockchain, brain-computer interface, quantum cryptography, application development"
Upasana Talukdar,"Machine Learning, Brain-Computer Interface, Knowledge Representation & Reasoning","ML, brain-computer interface, knowledge representation"
Krishnandu Hazra,"Wireless Networks, UAV Communications, AI & Deep Learning, Natural Language Processing","wireless networks, UAV, AI, deep learning, NLP"
Gautam Barua,"Storage Systems, ML in CPU Scheduling, DBMS Systems","storage systems, CPU scheduling, DBMS"
